,Имя,Число генов,Число геномов,Число генов с Z-DNA в промотере,Максимальный Z-Score,Средний Z-Score
0,50S ribosomal protein L36,24,50,3,28780.5,10424.469666666666
1,50S ribosomal protein L34,37,50,37,198956.2,25829.623862162167
2,30S ribosomal protein S19,40,50,9,8485.756,2550.5927666666666
3,acyl carrier protein,42,50,9,23787.35,3908.2580333333335
4,type B 50S ribosomal protein L31,59,50,24,13072.54,1627.2826875000003
5,50S ribosomal protein L33,38,50,22,27872.66,5771.888663636364
6,30S ribosomal protein S11,42,50,36,10894.72,3180.4613777777777
7,50S ribosomal protein L11,45,50,13,8411.479,2346.562523076923
8,30S ribosomal protein S18,51,50,23,38833.58,3789.7759739130443
9,30S ribosomal protein S20,46,50,38,198956.2,14597.994410526313
10,DUF2469 domain-containing protein,44,50,20,198956.2,11754.535255
11,WhiB family transcriptional regulator,38,50,24,49376.54,8080.226929166667
12,DUF3117 domain-containing protein,40,50,17,10894.72,1864.8740647058826
13,50S ribosomal protein L20,46,50,40,10894.72,1365.419177500001
14,helix-turn-helix domain-containing protein,47,50,31,48804.94,6392.454687096773
15,permease-like cell division protein FtsX,45,50,22,16271.57,3039.240345454546
16,30S ribosomal protein S15,45,50,12,2802.356,1628.4207000000004
17,F0F1 ATP synthase subunit beta,45,50,28,13713.99,1756.5247178571433
18,cold-shock protein,90,50,13,3993.322,1537.3154692307692
19,DUF3073 domain-containing protein,45,50,28,8922.646,2039.633932142857
20,50S ribosomal protein L9,47,50,26,13713.99,5395.038419230769
21,50S ribosomal protein L28,38,50,14,27872.66,4376.574128571429
22,30S ribosomal protein S14,40,50,20,3428.529,1277.1908700000004
23,30S ribosomal protein S12,43,50,36,46858.52,5829.87716388889
24,30S ribosomal protein S7,42,50,21,2752.447,1604.9001523809527
25,30S ribosomal protein S3,44,50,14,302785.5,31920.485542857146
26,50S ribosomal protein L29,41,50,29,13713.99,2270.939155172414
27,30S ribosomal protein S17,41,50,30,3428.529,1312.7036000000003
28,50S ribosomal protein L14,40,50,21,6017.919,1747.0342666666666
29,30S ribosomal protein S8,46,50,24,66470.78,5067.780620833334
30,50S ribosomal protein L18,46,50,38,48804.94,6348.6485394736865
31,50S ribosomal protein L30,42,50,36,211093.9,16029.93853888889
32,translation initiation factor IF-1,30,50,11,13713.99,2831.222627272728
33,30S ribosomal protein S13,44,50,31,50885.97,8043.054177419351
34,response regulator,42,50,19,13713.99,2824.802852631579
35,50S ribosomal protein L27,44,50,10,3428.529,1951.3537200000003
36,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,47,50,27,13713.99,2124.3911185185184
37,RNA polymerase sigma factor,41,50,26,13713.99,2599.2587615384623
38,FHA domain-containing protein,47,50,28,49376.54,4132.59155
39,FtsW/RodA/SpoVE family cell cycle protein,47,50,28,16271.57,2421.817614285714
40,Stk1 family PASTA domain-containing Ser/Thr kinase,43,50,20,13713.99,4663.561180000001
41,cell division protein CrgA,37,50,16,38833.58,5282.18315625
42,rhomboid family intramembrane serine protease,46,50,24,8485.756,1853.1078125000001
43,peptidylprolyl isomerase,47,50,19,48804.94,3583.2344473684216
44,alpha/beta hydrolase,43,50,27,138924.1,9549.266911111112
45,alpha/beta-hydrolase family protein,37,50,15,16271.57,2657.477046666667
46,DNA topoisomerase (ATP-hydrolyzing) subunit B,46,50,25,211093.9,11557.373092000002
47,DNA replication/repair protein RecF,47,50,20,28780.5,2892.7874899999997
48,DNA polymerase III subunit beta,46,50,21,4860.206,1712.6387523809522
49,single-stranded DNA-binding protein,42,50,17,6565.992,1936.6211000000005
